1,2,3,4,5
10000,20000,30000,40000,50000
191362,203736,213211,217077,222729
507150,497430,517592,527563,530030
742647,657098,578036,586229,628510
690670,981435,1150286,1138775,1122452
452272,446825,521896,448081,407144
250120,264212,199490,153465,131632
593121,594383,593202,581732,584621
268171,245303,241885,208503,240295
203015,297869,328200,330852,323604
367598,610142,719276,741588,805097
169004,188820,176505,176188,192829
124250,117400,115958,93861,112704
355899,308147,278051,308719,282214
146298,175267,153535,162591,165128
263191,250050,250076,250620,199012
112855,125756,88641,100924,105033
413342,347863,331554,309692,318700
131650,119335,9365,107599,128141
210151,186277,156482,170068,177413
155554,169102,127084,72188,95889
62837,62475,80396,78609,80957
315236,297792,285796,280801,283843
619662,535651,535651,440140,429470
223392,255251,226573,157684,183665
220161,181571,194504,167580,177950
491429,530017,632457,577381,543783
201162,204849,185886,184680,181921
192493,178939,161039,150723,151092
216649,208256,189368,192178,196750
332285,343598,324972,271552,282227
189964,179303,173922,173690,180021
446112,485761,494406,475649,470995
1189398,1307854,1269156,1208057,1214814
111233,114219,116969,115361,115282
691002,767344,750894,721975,732155
174704,178813,175593,171442,175250
191287,188743,177217,172407,176196
135402,139320,189018,190733,203790
546613,559226,550873,506618,451386
346778,292094,284040,273915,286769
1097933,1097933,827118,782898,745225
631882,603795,618008,634195,616489
99429,138750,142947,162669,174441
821018,804249,829115,630675,530744
452180,644430,548081,551559,543970
143162,119729,127027,127225,127929
154710,187267,235677,229074,206649
162936,170943,174861,170044,176827
44551,54813,70882,42090,59239
113638,108839,146900,115055,122676
